Input,Target
"El tío Dave compró 143 sándwiches de helado. Si quiere dárselos a sus 11 sobrinas hambrientas, ¿cuántos puede conseguir cada sobrina?",X=(143.0/11.0)
La Sra. Hilt comía 5 manzanas cada hora. ¿Cuántas manzanas había comido al final de las 3 horas?,X=(5.0*3.0)
El Sr. Guzmán compró 48 rosquillas empaquetadas en 4 cajas iguales. ¿Cuántos donuts había en cada caja?,X=(48.0/4.0)
"La Sra. Hilt fue a un concierto. Un total de 65899 personas asistieron al concierto. La semana siguiente, fue a un segundo concierto, que contó con 119 personas más. ¿Cuántas personas asistieron al segundo concierto?",X=(65899.0+119.0)
Ronald tiene 13 bloques. Martha tiene 4 bloques. Martha encuentra otros 80. ¿Con cuántos bloques termina Martha?,X=(4.0+80.0)
Emily corrió a la casa de Timothy. Son 10 millas desde la casa de Emily hasta la casa de Timothy. Emily tardó 2 horas en llegar allí. ¿Qué tan rápido fue Emily?,X=(10.0/2.0)
Mark corrió 24 millas a 6 millas por hora. ¿Cuánto tiempo corrió Mark?,X=(24.0/6.0)
Tienes 24 galletas y quieres compartirlas por igual con 6 personas. ¿Cuántas galletas recibiría cada persona?,X=(24.0/6.0)
231 pájaros estaban sentados en un árbol. Algunos más vuelan hasta el árbol. Entonces había 312 pájaros en el árbol. ¿Cuántos más vuelan hasta el árbol?,X=(312.0-231.0)
Una granja de frutas empaqueta las naranjas en cajas de 10 unidades cada una. Un día empaca 2650 naranjas. ¿Cuántas cajas usaron?,X=(2650.0/10.0)
Lisa voló 256 millas a 32 millas por hora. ¿Cuánto tiempo voló Lisa?,X=(256.0/32.0)
William tiene 10 canicas. El comparte 3 con Theresa. ¿Cuantas canicas tendra William?,X=(10.0-3.0)
Anne pesa 67 libras. Douglas pesa 52 libras. ¿Cuan mas pesada es Anne que Douglas?,X=(67.0-52.0)
13 patos están nadando en un lago. 20 patos más vienen a unirse a ellos. ¿Cuántos patos están nadando en el lago?,X=(13.0+20.0)
La familia de Sue se fue de vacaciones. Su madre condujo el coche a 60 mph. Acamparon en un camping después de viajar durante 5 horas. ¿A qué distancia estaba el camping de su casa?,X=(60.0*5.0)
"Gloria tiene dos lápices. Lisa tiene 99 lápices. Si Lisa le da todos sus lápices a Gloria, ¿cuántos lápices tendrá Gloria?",X=(2.0+99.0)
El primer día de la semana Pat tenía 39 pegatinas. Pat ganó 22 más durante la semana. ¿Cuántas pegatinas tenía Pat al final de la semana?,X=(39.0+22.0)
Carolyn comienza con 47 canicas y 6 naranjas. Comparte 42 con Diana. ¿Con cuántas canicas termina Carolyn?,X=(47.0-42.0)
La Sra. Hilt usa 2 onzas de detergente para lavar una libra de ropa. ¿Cuántas onzas de jabón usará para lavar 9 libras de ropa?,X=(2.0*9.0)
"Joe tiene 45 naranjas que deben ser guardadas en cajas. Daniel viene a ayudar y trae 16 galletas para compartir con Joe. Si hay 9 cajas, ¿cuántas naranjas deben ir en cada caja?",X=(45.0/9.0)
Hay 6 canicas en cada caja. ¿Cuantas canicas hay en 3 cajas?,X=(6.0*3.0)
Hay 88 caramelos en una caja. Lisa tiene 18 caramelos en una bolsa. Diana saca 6 caramelos de la caja. ¿Cuántos caramelos quedan en la caja?,X=(88.0-6.0)
"Si Karen vendio 36 cajas de nutella, ¿Cuantas grupos de 12 cajas de nutella recoge la Karen del distribuirdor de nutella?",X=(36.0/12.0)
Bruce tiene 75 huevos. Kimberly tiene 17 huevos. El Pierde 70. ¿Cuántos huevos tendrá Bruce?,X=(75.0-70.0)
Steve tiene 46 naranjas. El comparte 4 con Patrick. ¿Cuantas naranjas tendra Steve?,X=(46.0-4.0)
Hay 8 naranjas. Se añaden 8 naranjas más. ¿Cuántas hay en total?,X=(8.0+8.0)
"Un lápiz pesa 28,3 gramos. ¿Cuánto pesan 5 lápices?",X=(28.3*5.0)
"El profesor de Carson da estrellas doradas por su gran trabajo de matemáticas. Ayer, Carson ganó 6 estrellas doradas. Hoy, ganó 9 más. ¿Cuántas estrellas doradas ganó Carson en total?",X=(6.0+9.0)
Tengo un golden retriever de mascota. Cada año aumenta 11 libras. Tiene 8 años. ¿Cuántos kilos pesa?,X=(11.0*8.0)
James tenía 39 pegatinas. Le dieron más pegatinas para su cumpleaños. Luego tuvo 61 pegatinas. ¿Cuántas pegatinas le dieron a James por su cumpleaños?,X=(61.0-39.0)
Jack comienza con 62 canicas. El comparte 33 con Rebecca. ¿Con cuantas canicas termina Jack?,X=(62.0-33.0)
"Ruby tiene 36 caramelos y 6 bananas. Si comparte los caramelos entre 9 amigos, ¿cuántos caramelos recibe cada amigo?",X=(36.0/9.0)
La Sra. Hilt quiere hacer un borde alrededor de su jardín. Necesita 125 rocas para completar el borde. Ella tiene 64 rocas. ¿Cuántas rocas más necesita para completar la borde?,X=(125.0-64.0)
"Hay 30 dulces En la coleccion de dulces de Katy. Si los dulces son organizados en grupos de 10, ¿Cuan grande es cada grupo?",X=(30.0/10.0)
"Scott tiene 56 naranjas que deben ser guardadas en cajas. Terry viene a ayudar y trae 11 galletas para compartir con Scott. Si hay 8 cajas, ¿cuántas naranjas deben ir en cada caja?",X=(56.0/8.0)
La Sra. Hilt vio 144 abejas en la colmena. Al día siguiente vio tres veces más. ¿Cuántas abejas vio al segundo día?,X=(144.0*3.0)
Había 105 padres en el programa y 698 alumnos también. ¿Cuántas personas estaban presentes en el programa?,X=(105.0+698.0)
Brenda empieza con 7 caramelos. Ella compra 8 más. ¿Con cuántos caramelos termina Brenda?,X=(7.0+8.0)
"Sarah vendió 24 cajas de Lemon Chalet Cremes. ¿Cuántas cajas de 12 cajas, más las cajas extra que Sarah necesita?",X=(24.0/12.0)
"Ashley vendió 12 cajas de Samoas. ¿Cuántas cajas de 12 cajas, más las cajas extra necesita Ashley?",X=(12.0/12.0)
La Sra. Hilt leyó 4 libros. Cada libro tenía 17 capítulos. ¿Cuántos capítulos leyó la Sra. Hilt?,X=(4.0*17.0)
hay 3 huevos en cada caja. ¿Cuantos huevos hay en 2 cajas?,X=(3.0*2.0)
"Joshua tiene 40 caramelos y 6 huevos. Si comparte los caramelos entre 5 amigos, ¿cuántos caramelos recibe cada amigo?",X=(40.0/5.0)
Theresa tiene 32 creyones. Janice tiene 12 creyones. Ella comparte 13 con Nancy. ¿Cuántos creyones tendrá Theresa?,X=(32.0-13.0)
Bobby colecciona 2 bloques. El padre de Bobby le da a Bobby 6 más. ¿Cuántos bloques tiene Bobby?,X=(2.0+6.0)
Jeremy caminó 20 kilómetros a 2 kilómetros por hora. ¿Cuánto tiempo paseó Jeremy?,X=(20.0/2.0)
El granjero tenía 127 manzanas. Le dio 88 manzanas a su vecino. ¿Cuántas manzanas tiene ahora?,X=(127.0-88.0)
Norma tiene 88 carta. Ella pierde 70. ¿Cuantas cartas tendra norma?,X=(88.0-70.0)
